"Plot","TreeID","Species","Sector","Year","Status","DBH","Height","Comments","Conk","BlindConk","Scar","Fork.Crook","Frost.Crack","Mistletoe","R.Branch","DBT","Crown.Class","L.Crown"
"10","624","Bl","4","1992","Live",8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,9
"10","624","Bl","4","1994","Live",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,9
"10","624","Bl","4","1997","Live",7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,9
"10","624","Bl","4","2009","Live",8.3,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,4,9
"10","624","Bl","4","2019","Live",8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,9
"10","626","Sx","4","1992","Live",38.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7
"10","626","Sx","4","1994","Live",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7
"10","626","Sx","4","1997","Live",40.4,NA,"Dbh at 1.1m",NA,NA,NA,NA,NA,NA,NA,NA,2,7
"10","626","Sx","4","2009","Dead",40.4,NA,"Dead snag - woodpecker holes at base",NA,NA,NA,NA,NA,NA,NA,NA,2,7
"10","626","Sx","4","2019","Live",NA,NA,"dead snag",NA,NA,NA,NA,NA,NA,NA,NA,2,7
"10","630","Bl","4","1992","Live",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,4,7
"10","630","Bl","4","1994","Live",7.9,NA,"On bdy 3 - 4",NA,NA,NA,5,NA,NA,NA,NA,4,7
"10","630","Bl","4","1997","Live",7.8,NA,"DBh at 1.4",NA,NA,NA,5,NA,NA,NA,NA,4,7
"10","630","Bl","4","2009","Live",9.8,NA,"Live",NA,NA,NA,5,NA,NA,NA,NA,4,7
"10","630","Bl","4","2019","Live",11.5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,4,7
"11","655","Sx","3","1992","Live",14.6,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,6
"11","655","Sx","3","1994","Live",15.1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,6
"11","655","Sx","3","1997","Live",6.8,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,6
"11","655","Sx","3","2009","Live",20,NA,"Live",NA,NA,NA,3,NA,NA,NA,NA,NA,6
"11","655","Sx","3","2019","Live",22.2,18,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,6
"11","657","Bl","3","1992","Live",NA,NA,"Lean",NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"11","657","Bl","3","1994","Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"11","657","Bl","3","1997","Live",8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"11","657","Bl","3","2009","Live",6.1,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"11","657","Bl","3","2019","Live",6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"11","353","Bl","3","1992","Live",NA,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"11","353","Bl","3","1994","Live",7.5,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"11","353","Bl","3","1997","Live",5.4,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"11","353","Bl","3","2009","Live",11.9,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"11","353","Bl","3","2019","Live",13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"11","659","Bl","3","1992","Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"11","659","Bl","3","1994","Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"11","659","Bl","3","1997","Live",8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"11","659","Bl","3","2009","Live",5.7,NA,"Live - very suppressed",NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"11","659","Bl","3","2019","Live",5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"11","684","Bl","4","1992","Live",8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"11","684","Bl","4","1994","Live",7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"11","684","Bl","4","1997","Live",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"11","684","Bl","4","2009","Live",9.1,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"11","684","Bl","4","2019","Live",9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"12","31","Sx","2","1992","Live",22.4,20.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"12","31","Sx","2","1994","Live",22.3,19.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"12","31","Sx","2","1997","Live",22.6,19.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"12","31","Sx","2","2009","Live",25.7,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"12","31","Sx","2","2019","Live",30.2,18.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"17","396","Fd","4","1992","Live",56.7,30.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","396","Fd","4","1994","Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","396","Fd","4","1997","Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","396","Fd","4","2009","Live",70,NA,"Live - Growing too close to 736, DBH estimated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","396","Fd","4","2019","Live",68,34.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","411","Bl","2","1992","Live",8,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,5
"20","411","Bl","2","1994","Live",7.8,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,5
"20","411","Bl","2","1997","Live",8,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,5
"20","411","Bl","2","2009","Live",8.1,NA,"Live",NA,NA,NA,3,NA,NA,NA,NA,NA,5
"20","411","Bl","2","2019","Dead",8.1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,5
"24","76","Bl","1","1992","Live",35.9,18.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"24","76","Bl","1","1994","Live",35.3,19.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"24","76","Bl","1","1997","Live",37.5,21.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"24","76","Bl","1","2009","Live",43,NA,"Live - Growing on Rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"24","76","Bl","1","2019","Live",45.5,22.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"24","93","Bl","4","1992","Live",38.7,24.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"24","93","Bl","4","1994","Live",36.2,26.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"24","93","Bl","4","1997","Live",37.5,26.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"24","93","Bl","4","2009","Live",42.6,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"24","93","Bl","4","2019","Live",46.1,33.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
