"Plot","TreeID","Species","Sector","Year","Status","DBH","Height","Comments","Conk","BlindConk","Scar","Fork.Crook","Frost.Crack","Mistletoe","R.Branch","DBT","Crown.Class","L.Crown"
"11","343","Bl","3","1994","Live",8.6,,,,,,,,,,,,7
"11","343","Bl","3","1997","Live",9.7,,,,,,,,,,,,7
"11","343","Bl","3","2009","Live",13.7,,"Live",,,,,,,,,,7
"11","343","Bl","3","2019","Live",16.9,,,,,,,,,,,,7
"11","344","Bl","1","1992","Live",12.1,,,,,,,,,,3,,7
"11","344","Bl","1","1994","Live",12.6,,,,,,,,,,3,,7
"11","344","Bl","1","1997","Live",13,,,,,,,,,,3,,7
"11","344","Bl","1","2009","Live",15.3,,"Live",,,,,,,,3,,7
"11","344","Bl","1","2019","Live",17.3,,,,,,,,,,3,,7
"11","345","Bl","2","1992","Live",7.5,7,"Natrual; AB",,,,,,,,,,6
"11","345","Bl","2","1994","Live",8.2,7.4,,,,,,,,,,,6
"11","345","Bl","2","1997","Live",8.8,7.7,,,,,,,,,,,6
"11","345","Bl","2","2009","Live",11.3,,"Live",,,,,,,,,,6
"11","345","Bl","2","2019","Live",12.9,,,,,,,,,,,,6
"11","346","Bl","2","1992","Live",8.3,,"Natural",,,,,,,,,,8
"11","346","Bl","2","1994","Live",9,,,,,,,,,,,,8
"11","346","Bl","2","1997","Live",10.2,,,,,,,,,,,,8
"11","346","Bl","2","2009","Live",14.7,,"Live",,,,,,,,,,8
"11","346","Bl","2","2019","Live",19.3,,,,,,,,,,,,8
"11","347","Bl","2","1992","Live",20.6,14.7,"LS",,,,,,,,,,7
"11","347","Bl","2","1994","Live",22.1,15.9,,,,,,,,,,,7
"11","347","Bl","2","1997","Live",23.5,,,,,,,,,,,,7
"11","347","Bl","2","2009","Live",27.6,,"Live",,,,,,,,,,7
"11","347","Bl","2","2019","Live",30.2,19.5,,,,,,,,,,,7
"11","348","Bl","3","1992","Live",9.2,,"natural",,,,,,,,,,7
"11","348","Bl","3","1994","Live",10.2,,,,,,,,,,,,7
"11","348","Bl","3","1997","Live",10.9,,,,,,,,,,,,7
"11","348","Bl","3","2009","Live",13.1,,"Live",,,,,,,,,,7
"11","348","Bl","3","2019","Live",14.5,,,,,,,,,,,,7
"11","349","Bl","3","1992","Live",7.9,,,,,,,,,,,,5
"11","349","Bl","3","1994","Live",8.3,,,,,,,,,,,,5
"11","349","Bl","3","1997","Live",8.9,,,,,,,,,,,,5
"11","349","Bl","3","2009","Live",11.4,,"Live",,,,,,,,,,5
