"","Plot","TreeID","Species","Sector","Year","Status","DBH","Height","Comments","Conk","BlindConk","Scar","Fork.Crook","Frost.Crack","Mistletoe","R.Branch","DBT","Crown.Class","L.Crown","heightVol","totalVol","merchVol"
"83","10","409","Sx","2","2019","Dead",48.4,27.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,27.9,1.91127184721286,1.81694942957267
"84","10","410","Bl","2","1992","Live",14.7,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,9,12.7495975813169,0.101526919946299,0.094586869574874
"85","10","410","Bl","2","1994","Live",16.4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,9,14.15659525841,0.137946083661492,0.129151026143442
"86","10","410","Bl","2","1997","Live",16.6,NA,"Dbh at 1.1m",NA,NA,NA,NA,1,NA,NA,NA,3,9,14.0724056027358,0.140144960419429,0.13112233654607
"87","10","410","Bl","2","2009","Live",19.1,NA,"Live",NA,NA,NA,NA,1,NA,NA,NA,3,9,15.5681127531549,0.200608934981236,0.188450329799807
"88","10","410","Bl","2","2019","Live",21.1,15.5,NA,NA,NA,NA,NA,1,NA,NA,NA,3,9,15.5,0.239217946417418,0.224182011643092
"89","10","411","Bl","3","1994","Live",7.9,5.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,5.57,0.013999849122961,0.0124801913255751
"90","10","411","Bl","3","1997","Live",9,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,6.4,0.0204683391738944,0.0183718960237401
"91","10","411","Bl","3","2009","Live",13.5,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,4,8,11.5025315926022,0.0782261150822509,0.0724925787237428
"92","10","411","Bl","3","2019","Live",17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,14.593021607794,0.165131719931612,0.154661334533252
"93","10","412","Bl","4","1992","Live",8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,6.42626244944785,0.0201429090391116,0.0180891509752823
"94","10","412","Bl","4","1994","Live",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,8.024391498203,0.0312978662934677,0.0284710323530886
"95","10","412","Bl","4","1997","Live",10.9,NA,"DBh at 1.1m",NA,NA,NA,NA,NA,NA,NA,NA,4,8,8.95655306899969,0.0409895184554476,0.037503226306947
"96","10","412","Bl","4","2009","Live",13.5,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,4,8,11.5025315926022,0.0782261150822509,0.0724925787237428
"97","10","412","Bl","4","2019","Live",17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,14.4001834255876,0.157935286760332,0.147838251126847
"98","10","413","Bl","4","1992","Live",17.9,NA,"Natural",NA,NA,NA,NA,NA,NA,NA,NA,2,7,15.2314839868374,0.174362175395561,0.163770481772655
"99","10","413","Bl","4","1994","Live",18.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,15.9153324327947,0.201352907962873,0.189479199363744
"100","10","413","Bl","4","1997","Live",20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,16.638872534808,0.244279912380787,0.230187916307029
"101","10","413","Bl","4","2009","Live",24.8,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,2,7,18.6279175752168,0.387683796047437,0.366707295038196
"102","10","413","Bl","4","2019","Live",28.5,21.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,21.6,0.581274777113964,0.553848639858944
"103","10","42","Bl","2","2019","Dead",8.3,NA,"dead",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.93740347919692,0.0163557646558998,0.0146295990660306
"104","10","43","Sx","2","2019","Live",10,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9,0.0394514751362896,0.0359409111247178
